,Coverage,Conditional coverage,Size,Size cover,Method,Nominal,n_test,n_calib,n_train,noise_norm,Black box
0,0.889,,1.106,1.1946006749156355,None,0.9,1000,1000,60000,0.0,CNN
0,0.922,,1.378,1.4349240780911063,None,0.9,1000,1000,60000,0.5,CNN
0,0.895,,1.09,1.1631284916201117,SC,0.9,1000,1000,60000,0.0,CNN
0,0.904,,1.319,1.3893805309734513,SC,0.9,1000,1000,60000,0.5,CNN
0,0.901,,0.942,1.0,HCC,0.9,1000,1000,60000,0.0,CNN
0,0.77,,0.813,1.0,HCC,0.9,1000,1000,60000,0.5,CNN
0,0.964,,5.378,5.367219917012448,SC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.921,,5.457,5.398479913137893,SC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.975,,5.332,5.331282051282051,HCC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.915,,5.592,5.516939890710383,HCC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.902,,1.131,1.2084257206208426,None,0.9,1000,1000,60000,0.0,CNN
0,0.923,,1.416,1.47670639219935,None,0.9,1000,1000,60000,0.5,CNN
0,0.907,,1.136,1.2138919514884234,SC,0.9,1000,1000,60000,0.0,CNN
0,0.919,,1.419,1.4842219804134928,SC,0.9,1000,1000,60000,0.5,CNN
0,0.891,,0.926,1.0,HCC,0.9,1000,1000,60000,0.0,CNN
0,0.737,,0.787,1.0,HCC,0.9,1000,1000,60000,0.5,CNN
0,0.951,,5.224,5.187171398527865,SC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.949,,5.412,5.386722866174921,SC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.962,,5.502,5.460498960498961,HCC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.917,,5.3,5.236641221374046,HCC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.909,,1.128,1.2057205720572057,None,0.9,1000,1000,60000,0.0,CNN
0,0.937,,1.448,1.4898612593383138,None,0.9,1000,1000,60000,0.5,CNN
0,0.893,,1.102,1.1937290033594625,SC,0.9,1000,1000,60000,0.0,CNN
0,0.926,,1.407,1.4535637149028078,SC,0.9,1000,1000,60000,0.5,CNN
0,0.896,,0.928,1.0,HCC,0.9,1000,1000,60000,0.0,CNN
0,0.746,,0.792,1.0,HCC,0.9,1000,1000,60000,0.5,CNN
0,0.967,,5.608,5.584281282316443,SC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.954,,5.591,5.585953878406708,SC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.984,,6.028,6.0355691056910565,HCC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.956,,5.571,5.566945606694561,HCC_Smooth,0.9,1000,1000,60000,0.5,CNN
